country,year,iso_code,population,gdp,cement_co2,co2,co2_per_capita,coal_co2,flaring_co2,gas_co2,methane,nitrous_oxide,oil_co2,total_ghg,temp_anomaly
Africa,1910,,144170612.0,67594969088.0,0.0,17.411,0.121,17.411,0.0,0.0,16.37,5.01,0.0,28.79,-0.35
Africa,1911,,144586985.0,67594969088.0,0.0,16.865,0.117,16.854,0.0,0.0,16.37,5.01,0.011,28.79,-0.46
Africa,1912,,145180745.0,67594969088.0,0.0,17.954,0.124,17.869,0.0,0.0,16.37,5.01,0.084,28.79,-0.33
Africa,1913,,145775225.0,67594969088.0,0.0,19.606,0.134,19.566,0.0,0.0,16.37,5.01,0.04,28.79,-0.2
Africa,1914,,146378430.0,67594969088.0,0.0,19.551,0.134,19.243,0.0,0.0,16.37,5.01,0.308,28.79,-0.1
Africa,1915,,146990451.0,67594969088.0,0.0,19.606,0.133,19.514,0.0,0.0,16.37,5.01,0.092,28.79,-0.13
Africa,1916,,147611381.0,67594969088.0,0.0,23.255,0.158,23.072,0.0,0.0,16.37,5.01,0.183,28.79,-0.44
Africa,1917,,148241306.0,67594969088.0,0.0,25.344,0.171,24.919,0.0,0.0,16.37,5.01,0.425,28.79,-0.52
Africa,1918,,148852646.0,67594969088.0,0.0,24.725,0.166,23.856,0.0,0.0,16.37,5.01,0.868,28.79,-0.56
Africa,1919,,149715052.0,67594969088.0,0.0,25.443,0.17,24.751,0.0,0.0,16.37,5.01,0.692,28.79,-0.1
Africa,1920,,151007600.0,67594969088.0,0.0,28.052,0.186,27.594,0.0,0.0,16.37,5.01,0.458,28.79,-0.42
Africa,1921,,152208708.0,67594969088.0,0.0,27.986,0.184,27.425,0.0,0.0,16.37,5.01,0.561,28.79,-0.42
Africa,1922,,153847948.0,67594969088.0,0.0,23.97,0.156,23.435,0.0,0.0,16.37,5.01,0.534,28.79,-0.3
Africa,1923,,155754237.0,67594969088.0,0.0,29.045,0.186,28.572,0.0,0.0,16.37,5.01,0.473,28.79,-0.36
Africa,1924,,157688951.0,67594969088.0,0.0,30.631,0.194,30.126,0.0,0.0,16.37,5.01,0.505,28.79,-0.04
Africa,1925,,159652537.0,67594969088.0,0.0,32.185,0.202,31.624,0.0,0.0,16.37,5.01,0.561,28.79,-0.28
Africa,1926,,161645440.0,67594969088.0,0.0,34.438,0.213,33.903,0.0,0.0,16.37,5.01,0.535,28.79,0.03
Africa,1927,,163668127.0,67594969088.0,0.0,33.841,0.207,33.269,0.0,0.0,16.37,5.01,0.572,28.79,-0.01
Africa,1928,,165721048.0,67594969088.0,0.127,34.77,0.21,33.815,0.0,0.0,16.37,5.01,0.828,28.79,0.01
Africa,1929,,167806256.0,67594969088.0,0.366,35.802,0.213,34.59,0.0,0.0,16.37,5.01,0.846,28.79,-0.25
Africa,1930,,170123290.0,67594969088.0,0.261,33.696,0.198,32.555,0.0,0.0,16.37,5.01,0.88,28.79,-0.09
Africa,1931,,172075410.0,67594969088.0,0.266,29.464,0.171,28.307,0.0,0.0,16.37,5.01,0.89,28.79,0.33
Africa,1932,,174260306.0,67594969088.0,0.432,26.623,0.153,25.355,0.0,0.0,16.37,5.01,0.835,28.79,-0.06
Africa,1933,,176479403.0,67594969088.0,0.464,28.491,0.161,27.29,0.0,0.0,16.37,5.01,0.736,28.79,0.0
Africa,1934,,178731614.0,67594969088.0,0.534,32.539,0.182,31.324,0.0,0.0,16.37,5.01,0.682,28.79,-0.11
Africa,1935,,181017458.0,67594969088.0,0.61,35.91,0.198,34.743,0.0,0.0,16.37,5.01,0.557,28.79,-0.16
